SN,Source,Date,Open,High,Low,Adjusted_Close,Monthly_Nominal_GDP_Index,Monthly_Real_GDP_Index,Unemployment_Rate,Federal_Funds_Rate
1525,amazon,2021-01-22,3304.310059,3321.909912,3283.159912,3292.22998,22220.592,19223.782,6.3,0.09
1526,amazon,2021-01-25,3328.5,3363.889893,3243.149902,3294.0,22220.592,19223.782,6.3,0.09
1527,amazon,2021-01-26,3296.360107,3338.0,3282.870117,3326.129883,22220.592,19223.782,6.3,0.09
1528,amazon,2021-01-27,3341.48999,3346.52002,3207.080078,3232.580078,22220.592,19223.782,6.3,0.09
1529,amazon,2021-01-28,3235.040039,3301.679932,3228.689941,3237.620117,22220.592,19223.782,6.3,0.09
1530,amazon,2021-01-29,3230.0,3236.98999,3184.550049,3206.199951,22220.592,19223.782,6.3,0.09
1531,amazon,2021-02-01,3242.360107,3350.26001,3235.030029,3342.879883,22025.463,18984.738,6.2,0.08
1532,amazon,2021-02-02,3380.0,3427.73999,3361.129883,3380.0,22025.463,18984.738,6.2,0.08
1533,amazon,2021-02-03,3425.01001,3434.0,3308.620117,3312.530029,22025.463,18984.738,6.2,0.08
1534,amazon,2021-02-04,3330.0,3347.0,3277.75,3331.0,22025.463,18984.738,6.2,0.08
1535,amazon,2021-02-05,3319.0,3377.0,3302.709961,3352.149902,22025.463,18984.738,6.2,0.08
1536,amazon,2021-02-08,3358.5,3365.0,3304.0,3322.939941,22025.463,18984.738,6.2,0.08
1537,amazon,2021-02-09,3312.48999,3338.0,3297.840088,3305.0,22025.463,18984.738,6.2,0.08
1538,amazon,2021-02-10,3314.0,3317.949951,3254.0,3286.580078,22025.463,18984.738,6.2,0.08
1539,amazon,2021-02-11,3292.0,3292.0,3248.060059,3262.129883,22025.463,18984.738,6.2,0.08
1540,amazon,2021-02-12,3250.0,3280.25,3233.310059,3277.709961,22025.463,18984.738,6.2,0.08
1541,amazon,2021-02-16,3254.050049,3308.300049,3253.590088,3268.949951,22025.463,18984.738,6.2,0.08
1542,amazon,2021-02-17,3263.600098,3320.909912,3259.5,3308.639893,22025.463,18984.738,6.2,0.08
1543,amazon,2021-02-18,3282.419922,3338.0,3273.939941,3328.22998,22025.463,18984.738,6.2,0.08
1544,amazon,2021-02-19,3328.22998,3333.5,3245.75,3249.899902,22025.463,18984.738,6.2,0.08
1545,amazon,2021-02-22,3208.129883,3232.320068,3172.26001,3180.73999,22025.463,18984.738,6.2,0.08
1546,amazon,2021-02-23,3127.030029,3204.72998,3093.600098,3194.5,22025.463,18984.738,6.2,0.08
1547,amazon,2021-02-24,3166.75,3171.22998,3125.379883,3159.530029,22025.463,18984.738,6.2,0.08
1548,amazon,2021-02-25,3136.73999,3178.26001,3047.76001,3057.159912,22025.463,18984.738,6.2,0.08
1549,amazon,2021-02-26,3095.199951,3122.439941,3036.699951,3092.929932,22025.463,18984.738,6.2,0.08
1550,amazon,2021-03-01,3127.889893,3149.560059,3097.98999,3146.139893,22695.494,19441.084,6.1,0.07
1551,amazon,2021-03-02,3143.469971,3163.52002,3087.120117,3094.530029,22695.494,19441.084,6.1,0.07
1552,amazon,2021-03-03,3081.179932,3107.780029,2995.0,3005.0,22695.494,19441.084,6.1,0.07
1553,amazon,2021-03-04,3012.0,3058.129883,2945.429932,2977.570068,22695.494,19441.084,6.1,0.07
1554,amazon,2021-03-05,3005.0,3009.0,2881.0,3000.459961,22695.494,19441.084,6.1,0.07
1555,amazon,2021-03-08,3015.0,3064.590088,2951.310059,2951.949951,22695.494,19441.084,6.1,0.07
1556,amazon,2021-03-09,3017.98999,3090.959961,3005.149902,3062.850098,22695.494,19441.084,6.1,0.07
1557,amazon,2021-03-10,3098.449951,3116.459961,3030.050049,3057.639893,22695.494,19441.084,6.1,0.07
1558,amazon,2021-03-11,3104.01001,3131.780029,3082.929932,3113.590088,22695.494,19441.084,6.1,0.07
1559,amazon,2021-03-12,3075.0,3098.97998,3045.5,3089.48999,22695.494,19441.084,6.1,0.07
